Timestamp,Student Gender,Student Age,Type of the University,Name of the University,Location of the university,Academic Area,Academic Year,Student Current Residential Province,Do you have your own device to learn online?,What is the type of your device? ,Do you have a better internet connection to do e-learning ?,What are the  communication software/tools that you use?,What are the online learning platforms that you used?,Are you comfortable with the required technologies or applications that you need to use when doing e-learning?,Do you have a better environment to participate in online lectures?,Contribution to learning [How do you rate your satisfaction  for course lessons or activities delivered in the online environment?],Contribution to learning [How satisfied are you with the online assignments/test procedure?],Contribution to learning [How appropriate evaluating your learning outcomes through online?],Contribution to learning [Level of skill/knowledge at start of course],Contribution to learning [Level of skill/knowledge at end of course],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Skill and responsiveness of the instructor [Instructor is comfortable with required technologies or applications which used to do e-learning],Course content [Learning objectives were clear],Course content [Course content was organized and well planned to  teach  on online platforms],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],How much you satisfied with the e-learning ?,What needs to change  or add to make better e-learning platform?
05/10/2021 21:24:13,Male,27,State University,University of Moratuwa,Western Province,Other,Fifth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Tablet, Laptop",3,Zoom,Moodle,4,2,Very good,Fair,Poor,Very good,Very good,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,4,Need to have confirmed schedule from academic staff
05/10/2021 22:47:17,Male,26,State University,moratuwa ,Western Province,Other,Fifth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,moodle,4,4,Very good,Very good,Satisfactory,Poor,Excellent,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,4,
06/10/2021 19:55:16,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,Laptop,4,Zoom,"LMS , Google Classroom",4,5,Very good,Very good,Very good,Very good,Very good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,4,"If it can check plagarism in assignments, Discussion quizzes, contact lecturers and receive confirmation mails through the platform, it will better. "
10/10/2021 20:30:37,Male,25,State University,University of Peradeniya ,Central Province,Science,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",2,Zoom,"Udemy, youtube,cousera",4,3,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,3,"Good internet connection, understandable lecture notes"
10/10/2021 20:39:45,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Google,4,4,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,4,Good connection need
10/10/2021 20:40:27,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Western Province,Yes,Laptop,4,Zoom,-,4,4,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,4,
10/10/2021 20:42:07,Female,25,State University,SabSabaragamuwa university of sri lanka ,Sabaragamuwa Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",4,Zoom,Udemy,4,3,Satisfactory,Fair,Fair,Fair,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,
10/10/2021 20:53:12,Female,25,State University,University of Kelaniya,Western Province,Finance / Management,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,4,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,No
10/10/2021 21:21:12,Male,25,State University,University of Moratuwa,Western Province,Architecture ,Fifth Year,Western Province,Yes,"Desktop Computer, Laptop",4,Zoom,"Whatsapp, learnorg",3,5,Very good,Satisfactory,Very good,Satisfactory,Very good,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,2,"Proper schedule, not night time classes "
10/10/2021 21:23:20,Male,27,State University,University of Moratuwa,Western Province,Architecture,Fifth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,3,2,Poor,Poor,Fair,Satisfactory,Satisfactory,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,3,Teaching methods need to adapt to e-learning
10/10/2021 21:24:12,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",2,Zoom,Moodle,3,4,Fair,Satisfactory,Satisfactory,Fair,Very good,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,4,
10/10/2021 21:31:45,Male,26,State University,University of Moratuwa,Central Province,Architecture,Fifth Year,Central Province,Yes,"Mobile Phone, Desktop Computer, Laptop",4,Zoom,Moodle,3,3,Satisfactory,Satisfactory,Very good,Satisfactory,Satisfactory,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly disagree,Agree,3,It would be better if students can have faculties (like data free platforms) to work as groups in some works.
10/10/2021 21:52:42,Female,25,State University,University of Moratuwa,Western Province,Architecture,Fifth Year,Central Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,3,2,Poor,Fair,Poor,Satisfactory,Satisfactory,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Strongly disagree,Neutral,4,
10/10/2021 21:58:41,Female,25,State University,University of ruhuna ,Southern Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,Mobile Phone,3,Zoom,Moodle,4,4,Fair,Satisfactory,Fair,Fair,Poor,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,3,
10/10/2021 22:08:24,Male,26,State University,University of Moratuwa ,Western Province,Architecture ,Fifth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,3,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,3,
10/10/2021 22:15:45,Male,26,State University,university of moratuwa ,Western Province,architecture ,Fifth Year,Southern Province,Yes,"Mobile Phone, Desktop Computer",2,Zoom,moodle ,3,4,Very good,Very good,Very good,Very good,Very good,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,4,
10/10/2021 23:05:00,Female,25,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Western Province,Yes,Laptop,4,Zoom,Moodle,4,5,Very good,Satisfactory,Satisfactory,Satisfactory,Very good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,
10/10/2021 23:49:34,Female,27,State University,University of Moratuwa,Western Province,Architecture,Fifth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",2,Zoom,Moodle,4,2,Fair,Fair,Poor,Poor,Poor,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Agree,Disagree,Disagree,2,Provide proper connections first
11/10/2021 05:06:53,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,First Year,Eastern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,5,Very good,Very good,Very good,Fair,Very good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,4,
12/10/2021 18:48:13,Female,25,State University,University of ruhuna,Southern Province,Art,Fouth Year,Southern Province,Yes,Mobile Phone,5,Zoom,Moodle ,3,1,Very good,Very good,Excellent,Excellent,Excellent,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,5,I think we have no waste our time 
13/10/2021 09:53:46,Male,26,State University,University of ruhuna,Southern Province,Finance / Management,Fouth Year,Southern Province,Yes,Mobile Phone,3,Zoom,Moodle,2,2,Poor,Poor,Poor,Poor,Poor,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,2,
20/10/2021 13:35:02,Male,20,Private University,Informatics Institute Of Technology,Western Province,Computer Science,First Year,Western Province,Yes,"Tablet, Desktop Computer",4,Zoom,"Udemy, Blackboard",5,5,Satisfactory,Very good,Satisfactory,Excellent,Excellent,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,4,"Add more elements of interactivity, Built in presentation software, crowd collaborate elements"
20/10/2021 16:04:08,Male,24,State University,University of Colombo,Western Province,Science,Fouth Year,Western Province,Yes,"Tablet, Desktop Computer, Laptop",4,Zoom,Moodle,5,5,Satisfactory,Satisfactory,Fair,Poor,Satisfactory,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,4,Add interactivity
20/10/2021 19:19:02,Female,27,State University,University of Colombo ,Western Province,Science,Fouth Year,Western Province,Yes,"Mobile Phone, Tablet, Laptop",4,Zoom,Moodle,4,4,Satisfactory,Fair,Fair,Poor,Satisfactory,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,4,Ensuring stability of internet connection 
20/10/2021 22:56:05,Female,24,State University,University of Peradeniya ,Central Province,Medical Science,Third Year,Western Province,Yes,"Mobile Phone, Tablet, Laptop",3,Zoom,Moodle,3,3,Satisfactory,Satisfactory,Very good,Very good,Very good,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,3,
21/10/2021 13:16:53,Male,22,Private University,Informatics Institute of Technology,Western Province,Engineering,Third Year,Western Province,Yes,Laptop,4,MS Teams,Blackboard,3,4,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,
21/10/2021 13:17:21,Female,25,Private University,NSBM Green University,Western Province,Computing And management,Fouth Year,Western Province,Yes,Laptop,5,MS Teams,"LMS, Nlearn, Udemy, google, linkedin",3,5,Satisfactory,Very good,Satisfactory,Fair,Very good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,
21/10/2021 13:20:00,Male,21,Private University,University of Central Lanchasire (Studying at UCL),Western Province,Engineering,Third Year,Western Province,Yes,Laptop,3,Zoom,"Udemy, Youtube",5,4,Very good,Excellent,Excellent,Satisfactory,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,"In my experience everything is pretty cool, But personally I like to meet people"
21/10/2021 13:53:33,Female,23,State University,UCSC,Western Province,CS,Third Year,North Western Province,Yes,"Mobile Phone, Laptop",4,Zoom, ,4,3,Fair,Satisfactory,Poor,Poor,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,
22/10/2021 14:43:50,Male,21,Private University,IIT,Western Province,Computer Science,Third Year,Western Province,Yes,Laptop,5,Whatsapp,Blackboard,5,5,Very good,Excellent,Very good,Fair,Very good,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,4,
14/11/2021 17:57:27,Female,22,Private University,SLIIT,Western Province,Finance / Management,Second Year,Uva Province,Yes,"Desktop Computer, Laptop",3,Skype,Udacity,4,3,Satisfactory,Fair,Poor,Fair,Satisfactory,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,3,
14/11/2021 18:01:08,Male,21,Private University,,Central Province,Art,Second Year,Central Province,Yes,Desktop Computer,2,MS Teams,VLE,2,4,Very good,Fair,Fair,Fair,Very good,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,4,
14/11/2021 18:56:09,Female,23,Private University,NSBM,Western Province,Finance / Management,Second Year,Southern Province,Yes,"Mobile Phone, Laptop",4,Skype,LMS,4,4,Satisfactory,Very good,Very good,Satisfactory,Very good,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,4,There should be  better ways to maintain a good interaction between the student and the lecturer  throughout the lecture.
19/11/2021 09:18:40,Female,25,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,IT,Fouth Year,Western Province,Yes,"Mobile Phone, Laptop",4,Zoom,"Coursera, Udemy, Dataquest, Mongo university, Flutter community, Google devs ",4,4,Fair,Fair,Fair,Fair,Fair,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,4,
19/11/2021 09:26:40,Male,26,State University,Sabaragamuwa university of srilanka,Sabaragamuwa Province,IT,Third Year,Western Province,Yes,"Mobile Phone, Laptop",2,Zoom,"Udemy, Coursera",3,1,Very good,Satisfactory,Satisfactory,Fair,Very good,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly disagree,3,
19/11/2021 09:30:01,Female,27,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,IT,Fouth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",4,Zoom,Coursera,5,5,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,
19/11/2021 09:36:52,Female,24,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,Applied Science ,Fouth Year,Southern Province,Yes,Laptop,5,Zoom,Moodle,5,5,Very good,Very good,Very good,Very good,Very good,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,
19/11/2021 09:44:50,Female,25,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,Science,Fouth Year,Western Province,Yes,"Mobile Phone, Tablet, Laptop",4,Zoom,Moodle,3,5,Fair,Fair,Fair,Fair,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,Better performance evaluation should be there 
19/11/2021 09:45:58,Male,26,State University,Sabaragamuwa university of SL,Sabaragamuwa Province,Engineering,Fouth Year,North Central Province,Yes,"Mobile Phone, Laptop",5,Zoom,LMS,5,4,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,5,
19/11/2021 09:47:18,Male,27,State University,Sabaragamuwa university of Sri Lanka,Sabaragamuwa Province,Science ,Third Year,Sabaragamuwa Province,Yes,Laptop,3,Zoom,Moodle,5,5,Fair,Fair,Fair,Fair,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,4,Better internet connection 
19/11/2021 09:50:47,Male,24,State University,Sabaragamuwa University of Sri lanka,Sabaragamuwa Province,Engineering,Second Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,"Udemy, Youtube channels, Cosera ",3,3,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,
19/11/2021 10:03:40,Male,24,State University,Sabaragamuwa university of Sri Lanka,Sabaragamuwa Province,Science,Third Year,Western Province,Yes,"Mobile Phone, Laptop",4,Zoom,Moodle,4,4,Fair,Fair,Fair,Fair,Satisfactory,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,3,
19/11/2021 10:05:02,Female,23,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,Computing and Information Systems ,Third Year,Western Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,3,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,3,
19/11/2021 10:06:15,Female,24,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,Science,Second Year,Western Province,Yes,"Mobile Phone, Laptop",4,Zoom,LMS of our faculty ,4,3,Satisfactory,Satisfactory,Very good,Poor,Satisfactory,Agree,Agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,3,
19/11/2021 10:09:08,Male,23,State University,Sabaragamuwa University of Sri Lanka,Sabaragamuwa Province,Science,Second Year,Central Province,Yes,"Mobile Phone, Laptop",3,Zoom,Udemy,3,3,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,3,
19/11/2021 10:09:51,Female,23,State University,sabaragamuwa university of sri lanka,Sabaragamuwa Province,IT,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",3,Zoom,moodle,3,3,Fair,Satisfactory,Fair,Poor,Satisfactory,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,
19/11/2021 10:10:38,Male,24,State University,Sabaragamuwa University ,Sabaragamuwa Province,Science,Second Year,Southern Province,Yes,Laptop,3,Zoom,Moodle ,3,3,Fair,Fair,Satisfactory,Satisfactory,Satisfactory,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,4,
19/11/2021 10:11:28,Female,22,State University,University of Sri Jayawardhenapura,Western Province,Science,Second Year,Southern Province,Yes,"Mobile Phone, Desktop Computer",3,Zoom,Moodle ,3,4,Fair,Fair,Satisfactory,Fair,Very good,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,3,
19/11/2021 10:11:55,Male,24,State University,Sabaragamuwa University of Sri Lanka ,Sabaragamuwa Province,Science,Third Year,Western Province,Yes,"Mobile Phone, Laptop",4,Zoom,Moode,3,3,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,
19/11/2021 10:14:55,Male,24,State University,Sabaragamuwa University of Sri Lanka ,Sabaragamuwa Province,Science,Third Year,Western Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,3,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,3,
19/11/2021 10:25:01,Male,25,State University,University of sabaragamuwa ,Sabaragamuwa Province,Engineering,Fouth Year,Western Province,Yes,"Mobile Phone, Laptop",4,Zoom,Moodle,5,5,Very good,Satisfactory,Satisfactory,Poor,Fair,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,4,"Only problem that we faced while we learning remote will be time-based quiz .
Sometimes we unable to submit the quiz because of the unavailable of internet or electricity"
19/11/2021 10:32:26,Female,25,State University,Sabaragamuwa University ,Sabaragamuwa Province,Engineering,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",3,Zoom,"Moodle, Coursera",3,3,Fair,Fair,Fair,Fair,Fair,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,4,
19/11/2021 11:09:06,Male,23,Private University,Curtin at SLIIT ,Western Province,IT,Second Year,Southern Province,Yes,Laptop,4,MS Teams,Tutorial Point,5,5,Satisfactory,Satisfactory,Very good,Fair,Satisfactory,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,3,No idea.
19/11/2021 11:48:31,Male,23,State University,SUSL,Sabaragamuwa Province,Science,Second Year,Western Province,Yes,Laptop,3,Zoom,Coursera,4,2,Fair,Satisfactory,Satisfactory,Fair,Fair,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,3,"Its better to upload lecture videos to deliver lectures, and forms for students clarification. Because students unable to attend lectures due to technical or environmental issues. Hope it can reduce by doing such scenario"
19/11/2021 12:00:26,Female,23,State University,University of Peradeniya,Central Province,Medical Science,Second Year,Western Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,4,Satisfactory,Fair,Poor,Fair,Fair,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,4,
19/11/2021 12:09:00,Female,25,State University,SUSL,Sabaragamuwa Province,IT,Third Year,Central Province,Yes,"Mobile Phone, Laptop",2,Zoom,LMS,3,4,Poor,Poor,Poor,Fair,Fair,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,3,
19/11/2021 13:38:17,Male,23,State University,sabaragamuwa university of Sri lanka,Sabaragamuwa Province,Science,Third Year,North Western Province,Yes,"Mobile Phone, Desktop Computer, Laptop",3,Zoom,"coursera, moodle",4,4,Satisfactory,Satisfactory,Very good,Satisfactory,Very good,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,4,
19/11/2021 14:53:08,Male,24,State University,sabaragamuwa university of sri lanka,Sabaragamuwa Province,IT,Second Year,Western Province,Yes,Laptop,2,Zoom,moodle,4,2,Fair,Satisfactory,Fair,Satisfactory,Satisfactory,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,2,better connection 
19/11/2021 22:34:25,Male,24,State University,Sabaragamuwa university of Sri Lanka,Sabaragamuwa Province,Science,Third Year,Western Province,Yes,Desktop Computer,4,Zoom,"EDX, Coursera, Udemy.",4,3,Poor,Poor,Fair,Fair,Satisfactory,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree,2,Better evaluating methods. Better interactive activities to keep the students engaged. More engaging presentations to keeps students interested (Its easier to loose focus in an online session). 
25/11/2021 19:00:18,Female,22,Private University,SLIIT,Southern Province,Business,Second Year,Southern Province,Yes,"Mobile Phone, Desktop Computer",4,Google Hangout,"Udacity, LMS",4,4,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,4,
25/11/2021 19:02:15,Female,22,Private University,ESOFT Metro Campus,Southern Province,Finance / Management,Second Year,Uva Province,Yes,"Tablet, Desktop Computer",4,Zoom,LMS,4,3,Satisfactory,Very good,Satisfactory,Very good,Satisfactory,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,4,